renamed	dataset	sample_type
ABCS_08648	RBD_TARGET	Primary Tumor
ABCS_08649	RBD_TARGET	Primary Tumor
ABCS_08650	RBD_TARGET	Primary Tumor
ABCS_08651	RBD_TARGET	Primary Tumor
ABCS_08652	RBD_TARGET	Primary Tumor
ABCS_08653	RBD_TARGET	Primary Tumor
ABCS_08654	RBD_TARGET	Primary Tumor
ABCS_08655	RBD_TARGET	Primary Tumor
ABCS_08656	RBD_TARGET	Primary Tumor
ABCS_08657	RBD_TARGET	Primary Tumor
ABCS_08658	RBD_TARGET	Primary Tumor
ABCS_08659	RBD_TARGET	Primary Tumor
ABCS_08660	RBD_TARGET	Primary Tumor
ABCS_08661	RBD_TARGET	Primary Tumor
ABCS_08662	RBD_TARGET	Primary Tumor
ABCS_08663	RBD_TARGET	Primary Tumor
ABCS_08664	RBD_TARGET	Primary Tumor
ABCS_08665	RBD_TARGET	Primary Tumor
ABCS_08666	RBD_TARGET	Primary Tumor
ABCS_08667	RBD_TARGET	Primary Tumor
ABCS_08668	RBD_TARGET	Primary Tumor
ABCS_08669	RBD_TARGET	Primary Tumor
ABCS_08670	RBD_TARGET	Primary Tumor
ABCS_08671	RBD_TARGET	Primary Tumor
ABCS_08672	RBD_TARGET	Primary Tumor
ABCS_08673	RBD_TARGET	Primary Tumor
ABCS_08674	RBD_TARGET	Primary Tumor
ABCS_08675	RBD_TARGET	Primary Tumor
ABCS_08676	RBD_TARGET	Primary Tumor
ABCS_08677	RBD_TARGET	Primary Tumor
ABCS_08678	RBD_TARGET	Primary Tumor
ABCS_08679	RBD_TARGET	Primary Tumor
ABCS_08680	RBD_TARGET	Primary Tumor
ABCS_08681	RBD_TARGET	Primary Tumor
ABCS_08682	RBD_TARGET	Primary Tumor
ABCS_08683	RBD_TARGET	Primary Tumor
ABCS_08684	RBD_TARGET	Primary Tumor
ABCS_08685	RBD_TARGET	Primary Tumor
ABCS_08686	RBD_TARGET	Primary Tumor
ABCS_08687	RBD_TARGET	Primary Tumor
ABCS_04727	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04728	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04729	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04730	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04731	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04732	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04733	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04734	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04735	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04736	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04737	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04738	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04739	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04740	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04741	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04742	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04743	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04744	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04745	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04746	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04747	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04748	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04749	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04750	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04751	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04752	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04753	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04754	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04755	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04756	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
ABCS_04757	LAML_TARGET	Blood Derived Cancer - Bone Marrow Post-treatment
